year,state_abbr,state_name,acres_cropland_idled,acres_cropland_used_for_crops,acres_cropland_used_for_pasture,acres_defense_industrial,acres_farmsteads_roads_misc_farmland,acres_forest_use_land,acres_grassland_pasture_range,acres_grazed_forest_use_land,acres_miscellaneous_other_land,acres_rural_parks_wildlife,acres_rural_transportation,acres_special_uses_land,acres_total_cropland,acres_total_land,acres_ungrazed_forest_use_land,acres_urban_areas,blocks_250k_cropland_idled,blocks_250k_cropland_used_for_crops,blocks_250k_cropland_used_for_pasture,blocks_250k_defense_industrial,blocks_250k_farmsteads_roads_misc_farmland,blocks_250k_forest_use_land,blocks_250k_grassland_pasture_range,blocks_250k_grazed_forest_use_land,blocks_250k_miscellaneous_other_land,blocks_250k_rural_parks_wildlife,blocks_250k_rural_transportation,blocks_250k_special_uses_land,blocks_250k_total_cropland,blocks_250k_total_land,blocks_250k_ungrazed_forest_use_land,blocks_250k_urban_areas,share_of_total_land_total_cropland,share_of_total_land_cropland_used_for_crops,share_of_total_land_cropland_used_for_pasture,share_of_total_land_cropland_idled,share_of_total_land_grassland_pasture_range,share_of_total_land_forest_use_land,share_of_total_land_grazed_forest_use_land,share_of_total_land_ungrazed_forest_use_land,share_of_total_land_special_uses_land,share_of_total_land_rural_transportation,share_of_total_land_rural_parks_wildlife,share_of_total_land_defense_industrial,share_of_total_land_farmsteads_roads_misc_farmland,share_of_total_land_urban_areas,share_of_total_land_miscellaneous_other_land
2012,ID,Idaho,789000.0,4790000.0,221000.0,686000.0,91000.0,16771000.0,18391000.0,10000000.0,5056000.0,5358000.0,406000.0,6542000.0,5801000.0,52892000.0,6771000.0,331000.0,3.156,19.16,0.884,2.744,0.364,67.084,73.564,40.0,20.224,21.432,1.624,26.168,23.204,211.568,27.084,1.324,0.10967632156091658,0.09056189972018452,0.004178325644709975,0.014917189745141042,0.3477085381532179,0.3170800877259321,0.18906450881040612,0.12801557891552598,0.12368600166376768,0.007676019057702488,0.10130076382061559,0.01296982530439386,0.0017204870301746956,0.006258035241624442,0.09559101565454133
2012,IL,Illinois,1175000.0,22672000.0,88000.0,30000.0,318000.0,4772000.0,1728000.0,468000.0,256000.0,893000.0,1027000.0,2268000.0,23934000.0,35532000.0,4305000.0,2573000.0,4.7,90.688,0.352,0.12,1.272,19.088,6.912,1.872,1.024,3.572,4.108,9.072,95.736,142.128,17.22,10.292,0.6735900033772374,0.6380727231791061,0.002476640774513115,0.03306878306878307,0.0486322188449848,0.13430147472700665,0.013171225937183385,0.12115839243498817,0.06382978723404255,0.02890352358437465,0.02513227513227513,0.0008443093549476528,0.00894967916244512,0.07241359900934369,0.00720477316221997
2012,IN,Indiana,414000.0,12216000.0,80000.0,158000.0,242000.0,4748000.0,1656000.0,220000.0,937000.0,372000.0,449000.0,1220000.0,12710000.0,22929000.0,4528000.0,1657000.0,1.656,48.864,0.32,0.632,0.968,18.992,6.624,0.88,3.748,1.488,1.796,4.88,50.84,91.716,18.112,6.628,0.5543198569497143,0.5327750883161062,0.003489031357669327,0.018055737275938767,0.07222294910375507,0.20707401107767456,0.00959483623359065,0.19747917484408392,0.05320772820445724,0.0195821884949191,0.016223995813162372,0.0068908369313969205,0.010554319856949714,0.07226656199572594,0.04086527977670199
2012,KS,Kansas,2598000.0,25545000.0,449000.0,158000.0,318000.0,2402000.0,17781000.0,1008000.0,891000.0,335000.0,1212000.0,2023000.0,28592000.0,52326000.0,1394000.0,637000.0,10.392,102.18,1.796,0.632,1.272,9.608,71.124,4.032,3.564,1.34,4.848,8.092,114.368,209.304,5.576,2.548,0.5464205175247487,0.4881894278179108,0.00858082024232695,0.04965026946451095,0.3398119481710813,0.04590452165271567,0.019263845889232887,0.02664067576348278,0.03866146848602989,0.023162481366815733,0.006402171004854184,0.003019531399304361,0.006077284715055613,0.012173680388334671,0.017027863777089782
2012,KY,Kentucky,641000.0,5400000.0,328000.0,167000.0,233000.0,11886000.0,4742000.0,715000.0,109000.0,307000.0,530000.0,1237000.0,6369000.0,25271000.0,11171000.0,928000.0,2.564,21.6,1.312,0.668,0.932,47.544,18.968,2.86,0.436,1.228,2.12,4.948,25.476,101.084,44.684,3.712,0.25202801630327254,0.2136836690277393,0.012979304340944166,0.025365042934589056,0.18764591824621107,0.4703414981599462,0.028293300621265484,0.4420481975386807,0.04894938862728028,0.020972656404574415,0.01214831229472518,0.0066083653199319374,0.009220054608048752,0.0367219342329152,0.0043132444303747375
2012,LA,Louisiana,869000.0,3497000.0,218000.0,228000.0,125000.0,14645000.0,2275000.0,865000.0,2825000.0,1276000.0,393000.0,2022000.0,4585000.0,27651000.0,13780000.0,1299000.0,3.476,13.988,0.872,0.912,0.5,58.58,9.1,3.46,11.3,5.104,1.572,8.088,18.34,110.604,55.12,5.196,0.1658167878196087,0.12646920545369064,0.007883982496112257,0.03142743481248418,0.08227550540667607,0.5296372644750642,0.03128277458319771,0.4983544898918665,0.07312574590430726,0.014212867527395031,0.04614661314238183,0.008245633069328415,0.0045206321652019816,0.046978409460779,0.10216628693356479
2012,MA,Massachusetts,14000.0,130000.0,5000.0,30000.0,31000.0,2088000.0,79000.0,18000.0,16000.0,608000.0,58000.0,726000.0,148000.0,4992000.0,2070000.0,1935000.0,0.056,0.52,0.02,0.12,0.124,8.352,0.316,0.072,0.064,2.432,0.232,2.904,0.592,19.968,8.28,7.74,0.029647435897435896,0.026041666666666668,0.001001602564102564,0.0028044871794871795,0.015825320512820512,0.4182692307692308,0.003605769230769231,0.41466346153846156,0.14543269230769232,0.011618589743589744,0.12179487179487179,0.006009615384615385,0.006209935897435897,0.3876201923076923,0.003205128205128205
2012,MD,Maryland,108000.0,1254000.0,15000.0,102000.0,34000.0,2329000.0,447000.0,25000.0,183000.0,350000.0,81000.0,567000.0,1377000.0,6212000.0,2304000.0,1309000.0,0.432,5.016,0.06,0.408,0.136,9.316,1.788,0.1,0.732,1.4,0.324,2.268,5.508,24.848,9.216,5.236,0.2216677398583387,0.20186735350933677,0.0024146812620734065,0.017385705086928525,0.0719575016097875,0.37491951062459755,0.004024468770122344,0.3708950418544752,0.09127495170637476,0.013039278815196394,0.05634256278171281,0.016419832582099163,0.005473277527366388,0.21072118480360594,0.029459111397295557
2012,ME,Maine,55000.0,328000.0,8000.0,21000.0,34000.0,17191000.0,159000.0,48000.0,1159000.0,356000.0,198000.0,609000.0,390000.0,19740000.0,17143000.0,231000.0,0.22,1.312,0.032,0.084,0.136,68.764,0.636,0.192,4.636,1.424,0.792,2.436,1.56,78.96,68.572,0.924,0.019756838905775075,0.016616008105369808,0.0004052684903748733,0.002786220871327254,0.008054711246200608,0.8708713272543059,0.0024316109422492403,0.8684397163120567,0.030851063829787233,0.010030395136778116,0.018034447821681863,0.0010638297872340426,0.0017223910840932118,0.011702127659574468,0.058713272543059775
2012,MI,Michigan,483000.0,7192000.0,91000.0,13000.0,226000.0,19262000.0,1982000.0,110000.0,2112000.0,1613000.0,855000.0,2707000.0,7766000.0,36185000.0,19152000.0,2355000.0,1.932,28.768,0.364,0.052,0.904,77.048,7.928,0.44,8.448,6.452,3.42,10.828,31.064,144.74,76.608,9.42,0.21461931739671133,0.19875639076965593,0.002514854221362443,0.013348072405692966,0.054774077656487494,0.5323200221086085,0.0030399336741743816,0.5292800884344342,0.0748100041453641,0.023628575376537238,0.04457648196766616,0.0003592648887660633,0.0062456819123946385,0.06508221638800608,0.05836672654414813
