year,cumulative_through_year,state_fips,state_abbr,state_name,total_property_record_count,rasterized_state_area_km2,state_land_area_km2,counts_dominant_code,counts_dominant_label,counts_dominant_slug,counts_dominant_record_count,counts_dominant_record_share,counts_dominant_occupied_cell_count,counts_dominant_occupied_area_km2,record_count_agriculture,record_count_commercial,record_count_governmental,record_count_industrial,record_count_recreational,record_count_residential_income,record_count_residential_owned,record_count_vacant_land,record_share_agriculture,record_share_commercial,record_share_governmental,record_share_industrial,record_share_recreational,record_share_residential_income,record_share_residential_owned,record_share_vacant_land,occupied_cells_agriculture,occupied_cells_commercial,occupied_cells_governmental,occupied_cells_industrial,occupied_cells_recreational,occupied_cells_residential_income,occupied_cells_residential_owned,occupied_cells_vacant_land,occupied_area_km2_agriculture,occupied_area_km2_commercial,occupied_area_km2_governmental,occupied_area_km2_industrial,occupied_area_km2_recreational,occupied_area_km2_residential_income,occupied_area_km2_residential_owned,occupied_area_km2_vacant_land,records_per_occupied_cell_agriculture,records_per_occupied_cell_commercial,records_per_occupied_cell_governmental,records_per_occupied_cell_industrial,records_per_occupied_cell_recreational,records_per_occupied_cell_residential_income,records_per_occupied_cell_residential_owned,records_per_occupied_cell_vacant_land
1940,1944,16,ID,Idaho,113823,216441.875,214049.923496,RO,Residential-Owned,residential_owned,96055,0.843897981954438,21179,1323.6875,438.0,14999.0,171.0,6.0,30.0,993.0,96055.0,1131.0,0.0038480799135499856,0.1317747731126398,0.001502332568988693,5.271342347328747e-05,0.00026356711736643735,0.008724071584829077,0.843897981954438,0.009936480324714688,321.0,5158.0,104.0,4.0,18.0,357.0,21179.0,765.0,20.0625,322.375,6.5,0.25,1.125,22.3125,1323.6875,47.8125,1.3644859813084111,2.907910042652191,1.6442307692307692,1.5,1.6666666666666667,2.7815126050420167,4.535388828556589,1.4784313725490197
1940,1944,17,IL,Illinois,1266329,145911.25,143778.461053,RO,Residential-Owned,residential_owned,614345,0.48513853824716957,61472,3842.0,1145.0,515665.0,114.0,0.0,28.0,132220.0,614345.0,2812.0,0.0009041884060145508,0.4072125016484658,9.002399850275876e-05,0.0,2.211115752699338e-05,0.10441204457925231,0.48513853824716957,0.0022205919630680494,846.0,46182.0,68.0,0.0,19.0,8854.0,61472.0,1911.0,52.875,2886.375,4.25,0.0,1.1875,553.375,3842.0,119.4375,1.3534278959810875,11.16593044909272,1.6764705882352942,0.0,1.4736842105263157,14.933363451547324,9.993899661634565,1.4714809000523286
1940,1944,18,IN,Indiana,1487128,93727.5,92788.998225,RO,Residential-Owned,residential_owned,1361959,0.9158317239672712,133460,8341.25,22340.0,42763.0,5830.0,2491.0,3765.0,47507.0,1361959.0,473.0,0.015022244218386044,0.028755426567181844,0.003920308137564487,0.0016750407496866444,0.002531725581120119,0.03194546804310053,0.9158317239672712,0.0003180627356891942,7753.0,7843.0,1673.0,866.0,1587.0,6010.0,133460.0,388.0,484.5625,490.1875,104.5625,54.125,99.1875,375.625,8341.25,24.25,2.881465239262221,5.452377916613541,3.4847579199043635,2.876443418013857,2.372400756143667,7.904658901830283,10.204997752135471,1.2190721649484537
1940,1944,19,IA,Iowa,1189250,145744.0625,144659.688848,RO,Residential-Owned,residential_owned,1065616,0.8960403615724196,144747,9046.6875,15539.0,67248.0,1224.0,318.0,736.0,33600.0,1065616.0,4969.0,0.013066218204750893,0.05654656295984865,0.0010292200966996005,0.0002673954172797982,0.00061887744376708,0.028253100693714527,0.8960403615724196,0.004178263611519866,6457.0,21595.0,604.0,205.0,417.0,5198.0,144747.0,3766.0,403.5625,1349.6875,37.75,12.8125,26.0625,324.875,9046.6875,235.375,2.406535542821744,3.11405417920815,2.0264900662251657,1.551219512195122,1.764988009592326,6.464024624855714,7.361921145170539,1.3194370685077004
1940,1944,20,KS,Kansas,688688,213090.0625,211753.777874,RO,Residential-Owned,residential_owned,587662,0.8533065771437864,74751,4671.9375,9418.0,72115.0,1723.0,454.0,687.0,15541.0,587662.0,1088.0,0.01367527821016193,0.10471360035313523,0.002501858606509769,0.0006592244964337987,0.0009975489626652418,0.02256609669400367,0.8533065771437864,0.0015798155333039054,3583.0,18907.0,778.0,249.0,313.0,3276.0,74751.0,749.0,223.9375,1181.6875,48.625,15.5625,19.5625,204.75,4671.9375,46.8125,2.628523583589171,3.8141958004971706,2.2146529562982007,1.823293172690763,2.194888178913738,4.743894993894994,7.8615938248317745,1.4526034712950602
1940,1944,21,KY,Kentucky,393551,104650.75,102282.79608,RO,Residential-Owned,residential_owned,316127,0.8032681914161062,38170,2385.625,4686.0,48270.0,6304.0,39.0,404.0,15825.0,316127.0,1896.0,0.011906970125854082,0.12265246435658911,0.016018254305032894,9.909770271197379e-05,0.0010265505614266003,0.04021079860043552,0.8032681914161062,0.004817672931843649,2384.0,21185.0,1831.0,18.0,130.0,1673.0,38170.0,742.0,149.0,1324.0625,114.4375,1.125,8.125,104.5625,2385.625,46.375,1.9656040268456376,2.278498937927779,3.4429273620972145,2.1666666666666665,3.1076923076923078,9.459055588762702,8.282080167670946,2.555256064690027
1940,1944,22,LA,Louisiana,113980,122007.4375,111913.975425,RO,Residential-Owned,residential_owned,83531,0.7328566415160555,12290,768.125,337.0,8318.0,184.0,0.0,161.0,20376.0,83531.0,1073.0,0.0029566590629935075,0.07297771538866468,0.0016143183014563959,0.0,0.0014125285137743463,0.17876820494823653,0.7328566415160555,0.009413932268819092,235.0,2503.0,129.0,0.0,98.0,1311.0,12290.0,786.0,14.6875,156.4375,8.0625,0.0,6.125,81.9375,768.125,49.125,1.4340425531914893,3.3232121454254893,1.426356589147287,0.0,1.6428571428571428,15.54233409610984,6.7966639544345,1.3651399491094147
1940,1944,23,ME,Maine,208871,84886.9375,79888.428972,RO,Residential-Owned,residential_owned,154505,0.7397149436733678,23494,1468.375,389.0,18728.0,1914.0,44.0,184.0,32309.0,154505.0,798.0,0.0018623935347654773,0.08966299773544437,0.009163550708331938,0.00021065633812257327,0.0008809265048762155,0.1546839915545959,0.7397149436733678,0.0038205399504957606,246.0,5660.0,826.0,13.0,86.0,4295.0,23494.0,685.0,15.375,353.75,51.625,0.8125,5.375,268.4375,1468.375,42.8125,1.58130081300813,3.308833922261484,2.317191283292978,3.3846153846153846,2.13953488372093,7.522467986030268,6.576359921682132,1.164963503649635
1940,1944,24,MD,Maryland,580452,26643.9375,25151.895765,RO,Residential-Owned,residential_owned,514385,0.8861800803511746,51857,3241.0625,986.0,30949.0,1032.0,135.0,466.0,31196.0,514385.0,1303.0,0.0016986762040616622,0.05331879294067382,0.0017779247896466891,0.00023257737073866574,0.000802822627883098,0.05374432338935864,0.8861800803511746,0.0022448023264628257,582.0,6117.0,501.0,72.0,257.0,2052.0,51857.0,1077.0,36.375,382.3125,31.3125,4.5,16.0625,128.25,3241.0625,67.3125,1.6941580756013745,5.059506293934936,2.059880239520958,1.875,1.8132295719844358,15.202729044834308,9.919297298339664,1.2098421541318478
1940,1944,25,MA,Massachusetts,1650811,21210.875,20204.396898,RO,Residential-Owned,residential_owned,1110860,0.6729177355857212,74706,4669.125,2029.0,73722.0,18016.0,266.0,943.0,439802.0,1110860.0,5173.0,0.0012290928519376233,0.044658049891841044,0.010913423765652155,0.00016113292193958,0.0005712343811617441,0.2664157193040269,0.6729177355857212,0.003133611297719727,1276.0,15453.0,6222.0,130.0,460.0,28910.0,74706.0,4068.0,79.75,965.8125,388.875,8.125,28.75,1806.875,4669.125,254.25,1.5901253918495297,4.770724131236653,2.8955319832851174,2.046153846153846,2.05,15.212798339674853,14.869756110620298,1.2716322517207472
